date,amount,category,description
01-01-2024,1500,Income,Salary
03-01-2024,200,Expense,Grocery
05-01-2024,100,Expense,Transport
07-01-2024,1500,Income,Freelance
10-01-2024,300,Expense,Rent
12-01-2024,150,Expense,Utility Bill
15-01-2024,2000,Income,Bonus
18-01-2024,250,Expense,Shopping
20-01-2024,50,Expense,Coffee
22-01-2024,500,Expense,Entertainment
25-01-2024,1500,Income,Part-time Job
28-01-2024,400,Expense,Medical
30-01-2024,200,Expense,Subscription
02-02-2024,1600,Income,Salary
04-02-2024,250,Expense,Travel
06-02-2024,120,Expense,Restaurant
09-02-2024,1400,Income,Freelance Project
11-02-2024,300,Expense,Insurance
14-02-2024,180,Expense,Gift
17-02-2024,2100,Income,Investment Return
19-02-2024,100,Expense,Pet Care
21-02-2024,350,Expense,Car Maintenance
24-02-2024,1500,Income,Consulting
26-02-2024,450,Expense,Vacation
28-02-2024,250,Expense,Books
01-03-2024,1500,Income,Salary
03-03-2024,200,Expense,Grocery
05-03-2024,100,Expense,Transport
07-03-2024,1500,Income,Freelance
10-03-2024,300,Expense,Rent
12-03-2024,150,Expense,Utility Bill
15-03-2024,2000,Income,Bonus
18-03-2024,250,Expense,Shopping
20-03-2024,50,Expense,Coffee
22-03-2024,500,Expense,Entertainment
25-03-2024,1500,Income,Part-time Job
28-03-2024,400,Expense,Medical
30-03-2024,200,Expense,Subscription
